Crop type;BBCH 09;BBCH 22;BBCH 39;BBCH 55;BBCH 89;Tb_min (ºC);Tb_max (ºC)
BARLEY_2_ROW;153.035338458333;350.186977542572;896.437749052536;1099.591215012540;1810.812071656700;0;25
BARLEY_6_ROW;153.035338458333;350.186977542572;896.437749052536;1099.591215012540;1810.812071656700;0;25
WHEAT_BREAD_SOFT;149.772725968297;354.517135303442;1004;1257;2015;0;25
WHEAT_BREAD_HARD;149.772725968297;354.517135303442;1004;1257;2015;0;25
CORN_GRAIN;205.188550100000;454.403101930833;1219.549751930830;1414.792118597500;2509.738716644170;8;30
MAIZE_SILAGE;205.188550100000;454.403101930833;1219.549751930830;1414.792118597500;2509.738716644170;8;30
GARLIC;202.206721833333;453.283464887681;702.168694885869;1099.591215012540;1253.810203652540;0;25
