20;0;0;25
40;9;0,0000000000000000;25
60;11;0,0344324324324324;25
80;12;0,0319729729729730;25
100;13;0,0295135135135135;25
184;21;0,0500000000000000;40
250;31;0,2000000000000000;40
268;39;0,2000000000000000;40
286;49;0,0800000000000000;40
310;51;0,0500000000000000;40
330;55;0,0576000000000001;40
350;59;0,0400000000000000;40
385;65;0,0488000000000000;40
415;71;0,0679999999999990;25
445;75;0,0700000000000000;25
560;83;0,0100000000000000;25
575;85;0,0100000000000000;25
610;87;0,0100000000000000;0
999;97;0,0100000000000000;0
