Swine,live weight FINAL (kg),kg DM intake / day,N excreted (kgN / head),YM,DE%,VS (kg VS/1000 kg BW/d)
Mature pigs,250,3.44,20.4,0.006,0.75,4.25
Growing pigs,32,0.91,0.62,0.006,0.75,5.1
