Feedstuffs,%DM / fresh product,kg CO2 /tDM,GJ /tDM,N content / DM
Goat. 24% crude protein. pellet form,0.88,753,4.216,
Meat sheep. 16% crude protein. pellet form,0.88,512,3.173,
Dairy sheep. 20% crude protein. pellet form,0.88,655,4.073,
Horse. 14% crude protein. pellet form,0.88,475,3.105,
Suckler calf. flour form,0.88,616,4.016,
