Feedstuffs,%DM / fresh product,kg CO2 /tDM,GJ /tDM,N content / DM
Wheat-based. pellet form,0.88,225.6,3.255,
Maize-based. pellet form,0.88,230.5,3.327,
Wheat-based. flour form,0.88,199,2.8693,
Maize-based. flour form,0.88,204,2.9414,
