,kg CO2/kg N,kg CO2/kg P2O5,kg CO2/kg K2O,kg N2O-N /kg N,kg CO2/kg N,kg CO2/kg P2O5,kg CO2/kg K2O,kg N2O-N /kg N
Fosfoplus 7-15-6 + 5%S + 9% PHC,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Fosfoplus 8-8-10 + 5%S + 9% PHC,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Mono-ammonium phosphate (MAP),,1.8200,,0.0000,1.02884615384615,0.00000000000000,0.00000000000000,0.01000000000000
Di-ammonium phosphate (DAP),,3.0200,,0.0000,1.54472347826087,0.00000000000000,0.00000000000000,0.01000000000000
Ammonium polyphosphates (APP),1.8200,,,0.0100,1.54472347826087,0.00000000000000,0.00000000000000,0.01000000000000
Ammonium sulphate,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
Ammonium sulfate 21%,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
ammonium nitrophosphate 26%,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
ammonium nitrophosphate 21%,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
Ammonium nitrosulphate,4.5100,,,0.0100,3.16153846153846,0.00000000000000,0.00000000000000,0.01000000000000
Ammonium nitrate,3.9700,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Ammonium nitrate 33%,3.9700,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Ammonium nitrate 27% (NAC),4.1800,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Ammonium nitrate 20%,4.1800,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Nitrogen solutions (32%),4.9900,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Solución N-32,4.9900,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Solución N-20,4.9900,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Solución N-26,4.9900,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Calcium nitrate solution,4.9900,,,0.0100,3.67037037037037,0.00000000000000,0.00000000000000,0.01100000000000
Magnesium nitrate solution,4.9900,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Cow manure,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Dairy Cow,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Dairy Heifer,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Beef Cow,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Beef Feeder,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Beef Stocker,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Swine Manure,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Swine Finishing,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Swine Growing,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Swine Nursery,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Swine Gestating sow,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Swine Sow and litter,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Poultry Manure,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Poultry Layer,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Poultry Broiler,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Poultry Turkey,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Poultry Duck,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Poultry Goose,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Other Horse,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Other Sheep,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Other Goat,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Other Rabbit,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Digestato,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Sludge EDAR,0.0090,,,0.0100,0.00900000000000,0.00000000000000,0.00000000000000,0.01000000000000
Poultry slurry,0.8800,,,0.0100,0.88000000000000,0.00000000000000,0.00000000000000,0.01000000000000
Rabbit slurry,0.8800,,,0.0100,0.88000000000000,0.00000000000000,0.00000000000000,0.01000000000000
Pig slurry,0.8800,,,0.0100,0.88000000000000,0.00000000000000,0.00000000000000,0.01000000000000
Cattle slurry,0.8800,,,0.0100,0.88000000000000,0.00000000000000,0.00000000000000,0.01000000000000
