Swine,Days for growth / on the farm,live weight BEGIN (kg),live weight FINAL (kg),nb of flocks /yr,kg DMintake / year,kg  DM Intake / kg AWG,kg N excreted /year
Mature pigs,365,250,250,1,3.44,1250,20.4
Growing pigs,42,8,32,7.6,0.91,1.74,0.62
