nbcodcultur,Name,symbiotic fixation kg N/ u,N export,P2O5 export,K2O export,unit,observations,coeff energy,DM/U,species,crop categ,export unit of DM,Residues coefficient of A surface (slope),Residues coefficient of B surface (intercept),below-ground part of residues on the total biomass ,N content in above-ground residues (t N/unit),N content in below-ground residues (t N/tDM),Conversion coeff unit harvest/tonne,Crop type,Emission factor of crop seed (kgeqCO2/kg seeds),Land use category (SOC calculation),Soil cover during winter (default value),% of legumes in the crop (default value),Cf (combustion factor),Crop code
,Marrow,,2,0.7,4.8,t,Données internet - cédric + FAB PACA,0.9,0.05,marrow,ca,t,0.0747,0,0.1,0.0415,0.0415,1,legu,0,annual crop,no,0,0.8,0
,Melon,,2.2,0.8,0.4,t,bilan minéraux IE,1.14,0.1,melon,ca,t,0.0559,0,0.2,0.0191,0.0191,1,legu,0,annual crop,no,0,0.8,0
,Meslin (wheat. barley. pea),10.8,22,8,8,t,1/3 blé. 1/3 orge et 1/3 pois,15.8,0.87,meslin,ca,t,1.51,0.52,0.24,0.00544,0.0099,1,COP,0,annual crop,yes,1,0.8,0
,Millet,,20,8,5,t,Données internet - cédric + NPK Sorgho grain,15.8,0.91,millet,ca,t,0.88,1.33,0.22,0.007826,0.0066,1,COP,0,annual crop,no,0,0.8,0
,Mint,,6,1.7,6.8,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2.9,0.21,mint,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Oat,,19,8,7,t (RH 15%),corpen,17.45,0.85,oat,ca,t,0.91,0.89,0.25,0.0077,0.0088,1,COP,0,annual crop,no,0,0.8,0
,Common evening primrose (Oenothera),,35,15,10,t,données colza,25.22,0.89,onager,ca,t,,,,,,1,flower,0,annual crop,no,0,0.8,0
,Onion,,2,1.5,4.6,t,corpen,1.45,0.3,onion,ca,t,0.0122,0,0.1,0.0606,0.0606,1,legu,0,annual crop,no,0,0.8,0
,Open grown  aubergine,,7,1.5,7.5,t,Chaux et Fourry 99 (FAB PACA) + données internet cédric,0.7,0.07,aubergine,ca,t,0.0747,0,0.1,0.0415,0.0415,1,legu,0,annual crop,no,0,0.8,0
,Open-grown chilli,,4.3,1.2,6.8,t,Cornillon 71 (FAB PACA) + données internet cédric,0.7,0.07,chili,ca,t,0.0747,0,0.1,0.0415,0.0415,1,legu,0,annual crop,no,0,0.8,0
