Ammonium nitrate,0.007
Ammonium sulphate,0.011
Nitrogen solutions (32%),0.011
Urea,0.011
Others N mineral fertilisers,0.01
Dolomite (CaO 30%. MgO 20%),0.13
Lime (CaO 52%),0.12
