12/01/2015;Inicial;12;9,39;-6,32;1,47;2,2;0,83;10,43;52,91;0;0;0,15;0,1;0,15;1,2;1,19;0;0,15;1;0,85;20;0;9;1;1,0128;0;0,9929;1,1628;0,968963;0,05;0,55;7;3,85;0;;0;1;1,1628;0,969;0,969;0,968963;0;0;;;;;;;
13/01/2015;Inicial;13;9;-4,67;2,75;3,2;0,97;7,99;48,91;0;0;0,15;0,104167;0,15;1,2;1,21;0;0,160833;1;0,839167;20;0,992897;9;1;1,0169;0;2,1643;1,1669;1,128012;0,0575;0,55;8,05;4,4275;0;;0;1;1,1669;1,128;2,097;2,096975;0;0;;;;;;;
14/01/2015;Inicial;14;8,15;-4,39;1,63;3;0,97;11,4;49,22;0;0;0,15;0,108333;0,15;1,2;1,21;0;0,171667;1;0,828333;20;2,164312;9;1;1,0011;0;3,3326;1,1511;1,112704;0,065;0,55;9,1;5,005;0;;0;1;1,1511;1,1127;3,2097;3,209679;0;0;;;;;;;
15/01/2015;Inicial;15;8,68;-1,67;3,64;3,6;0,93;4,79;56,05;0;0;0,15;0,1125;0,15;1,2;1,21;0;0,1825;1;0,8175;20;3,332566;9;1;0,987;0;4,4595;1,137;1,06124;0,0725;0,55;10,15;5,5825;0;;0;1;1,137;1,0612;4,2709;4,270918;0;0;;;;;;;
16/01/2015;Inicial;16;10,1;-1,19;4,34;5,3;1,27;10,75;50,52;0;0;0,15;0,116667;0,15;1,2;1,24;0;0,193333;1;0,806667;20;4,459465;9;1;1,0015;0;6,032;1,1515;1,458533;0,08;0,55;11,2;6,16;0;;0;1;1,1515;1,4585;5,7295;5,729451;0;0;;;;;;;
17/01/2015;Inicial;17;10,89;-3,48;4,41;5,3;1,63;11,98;37,92;0;0;0,15;0,120833;0,15;1,2;1,26;0;0,204167;1;0,795833;20;6,032026;9;1;1,0037;0;8,0919;1,1537;1,884345;0,0875;0,55;12,25;6,7375;0;;0;1;1,1537;1,8843;7,6138;7,613796;0;0;;;;;;;
18/01/2015;Inicial;18;8,07;-4,94;1,63;1,4;0,8;9,14;51,87;0;0;0,15;0,125;0,15;1,2;1,18;0;0,215;1;0,785;20;8,091936;9;1;0,9264;0;9,0361;1,0764;0,861139;0,095;0,55;13,3;7,315;0;;0;0,9501;1,0689;0,8551;8,4689;8,474935;0;0;;;;;;;
19/01/2015;Inicial;19;7,11;-1,92;2,45;3,4;0,9;1,95;51,7;0;0;0,15;0,129167;0,15;1,2;1,21;0;0,225833;1;0,774167;20;9,036062;9;0,1495;0,1587;0;9,2205;0,3087;0,277814;0,1025;0,55;14,35;7,8925;0;;0;0,9107;0,2953;0,2658;8,7347;8,752749;0;0;;;;;;;
20/01/2015;Inicial;20;5,83;-0,72;2,35;2,6;0,53;5,52;84,65;0;0;0,15;0,133333;0,15;1,2;1,15;0;0,236667;1;0,763333;20;9,220537;9;0,147;0,1466;0;9,3229;0,2966;0,15817;0,11;0,55;15,4;8,47;0;;0;0,9618;0,2908;0,1551;8,8898;8,910919;0;0;;;;;;;
21/01/2015;Inicial;21;8,3;3,39;5,84;2,4;0,83;5,61;74,75;0;0;0,15;0,1375;0,15;1,2;1,16;0;0,2475;1;0,7525;20;9,322943;9;0,1456;0,1469;0;9,4857;0,2969;0,247441;0,1175;0,55;16,45;9,0475;0;;0;1;0,2969;0,2474;9,1373;0;0;0;;;;;;;
22/01/2015;Inicial;22;10,04;2,2;6,36;3,2;1,17;8,3;61,6;0;0;0,15;0,141667;0,15;1,2;1,19;0;0,258333;1;0,741667;20;9,485654;9;0,1434;0,1495;0;9,7208;0,2995;0,349406;0,125;0,55;17,5;9,625;0;;0;1;0,2995;0,3494;9,4867;0,349406;0;0;;;;;;;
23/01/2015;Inicial;23;9,56;1,61;5,5;1,4;1,3;9,07;66,94;0;0;0,15;0,145833;0,15;1,2;1,15;0;0,269167;1;0,730833;20;9,720808;9;0,1402;0,1409;0;9,9714;0,2909;0,378111;0,1325;0,55;18,55;10,2025;0;;0;1;0,2909;0,3781;9,8648;0,727517;0;0;;;;;;;
24/01/2015;Inicial;24;11,02;2,98;6,67;2,6;1,55;10,86;53,7;0;0;0,15;0,15;0,15;1,2;1,2;0;0,28;1;0,72;20;9,97136;9;0,1368;0,143;0;10,2792;0,293;0,454136;0,14;0,55;19,6;10,78;0;;0;1;0,293;0,4541;10,3189;1,181653;0;0;;;;;;;
25/01/2015;Inicial;25;11,81;3,26;7,22;1,9;1,45;12,39;62,14;0;0;0,15;0,154167;0,15;1,2;1,17;0;0,290833;1;0,709167;20;10,279187;9;0,1326;0,1352;0;10,5557;0,2852;0,413594;0,1475;0,55;20,65;11,3575;0;;0;1;0,2852;0,4136;10,7325;1,595247;0;0;;;;;;;
